date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,Temperature,Dew Point,Humidity,Wind Speed,Pressure,IntCondition,IntSeason,month,Event
1/31/2020,1980.00366,1194,1828,1535,667,3656,2111,1092,1960,2638,951,1521,517,689.9175069,1092.917507,62.93523471,37.51529671,43.33815494,8.600600785,29.91691224,5.677419355,1,1,0
2/29/2020,1859.00366,1253,1731,1441,629,3462,2053,1270,1125,1359,896,1399,490,590,967,71.93307892,42.12985908,39.63677365,7.484929693,29.78782745,4.034482759,1,2,1
3/31/2020,2560.00366,1387,2038,1201,1294,2565,2179,1342,1187,1444,944,1487,510,469.9587534,1062,76.12776434,49.78404017,44.49841882,8.362964918,29.82296882,4.032258065,2,3,1
4/30/2020,2469,1329,1959,1149,1239,2469,2091,1281,1131,1383,892,1433,472,449.8762603,917.9587534,84.73424926,64.73545707,55.26969193,8.570254582,29.67688396,2,2,4,1
5/31/2020,2613,1435,2086,1249,1342,2086,1828,1535,667,3656,942,1510,508,376.9175069,743,88.33341129,72.86802659,61.88078884,11.77791492,29.45759354,2.483870968,2,5,1
6/30/2020,2511,1409,2016,1061,1873,3002,1731,1441,629,3462,877,1467,471,342.9175069,685,90.57925362,74.83784599,60.97031241,11.2278886,29.47635012,3.75862069,4,6,0
7/31/2020,2641,1463,2114,1091,1959,2641,2038,1201,1294,2565,931,1578,497,304.9175069,661,90.09962449,76.38206084,65.30247643,11.38261338,29.28649328,5.967741935,4,7,1
8/31/2020,2642,1464,2111,1092,1960,2638,1826,1516,648,3652,935,1611,532,362,765,87.02046258,77.94038146,75.04350462,10.71108327,29.2274855,7.967741935,4,8,1
9/30/2020,2243,1238,2123,1313,1163,1405,1959,1149,1239,2469,924,1535,504,460.9587534,831,86.12889946,74.09333154,68.34137824,9.161517756,29.56390564,4.866666667,3,9,0
10/31/2020,2305.00366,1528,2179,1342,1187,1444,2086,1249,1342,2086,944,1527,510,602,1532,83.1239072,56.96935276,48.18298898,6.643800808,29.69215348,5.064516129,3,10,1
11/30/2020,2211,1461,2091,1281,1131,1383,2085,1097,1937,3105,920,1473,500,644,1184,72.06316653,47.54927065,46.51306357,6.667116581,29.82717305,6.733333333,3,11,0
12/31/2020,1962.00366,1175,1826,1516,648,3652,2114,1091,1959,2641,925,1513,522,710.9587534,1268.958753,66.42081143,38.75096147,41.71979321,6.92774309,29.9387545,6.580645161,1,12,1
1/31/2021,2368,1190,1841,1531,663,3682,2137,1114,1982,2137,947,1503,513,751.8762603,1508.917507,62.86127521,35.65202905,43.63515129,5.86352582,29.87242625,7.032258065,1,1,0
2/28/2021,2161,1097,1685,1405,621,3370,1993,1237,1097,1908,866,1362,474,659.9587534,1135.958753,72.32674218,48.09256631,50.28820817,6.208047526,29.81251403,7.464285714,1,2,1
3/31/2021,2522.00366,1353,2004,1167,1260,3585,2206,1369,1214,2109,919,1505,547,552,1110,80.45007106,59.37751089,54.82534252,7.795829994,29.71010759,5.516129032,2,3,1
4/30/2021,2512,1372,2002,1192,1282,2002,2090,1280,1130,2015,934,1454,514,474,924,85.97989652,62.54964449,52.10095619,8.722655073,29.61249382,4.133333333,2,4,1
5/31/2021,2645,1467,2118,1281,1374,2118,1841,1531,663,3682,942,1509,508,474.9175069,982.9587534,89.55460605,70.66426457,57.31323341,12.61515632,29.5294481,3.612903226,2,5,1
6/30/2021,2409,1345,1933,1009,1793,2409,1685,1405,621,3370,849,1414,457,321,685,89.28793649,73.7840746,60.92007673,15.26008292,29.33530517,6.071428571,4,6,0
7/31/2021,2682,1504,2155,1132,2000,2155,2004,1167,1260,3585,946,1687,512,345.7112741,577,86.92238026,75.5905242,69.86262605,15.27557083,29.37509795,8.967741935,4,7,1
8/31/2021,2664,1486,2137,1114,1982,2137,1842,1532,664,3684,931,1627,497,367.8350137,694,84.08549556,71.78551008,66.86441042,14.30044593,29.54061581,6.677419355,4,8,1
9/30/2021,1714,1504,2134,1324,1174,2043,2002,1192,1282,2002,910,1533,490,622.9175069,971,86.96190076,73.90872578,66.8669618,9.484515028,29.54925328,7,3,9,0
10/31/2021,1772,1555,2206,1369,1214,2109,2118,1281,1374,2118,936,1564,502,445.9587534,1384,81.99936136,62.41018562,56.94240038,7.559565962,29.65661726,6.709677419,3,10,1
11/30/2021,1670,1460,2090,1280,1130,2015,2076,1086,1926,2586,906,1491,486,527,1097,76.1210812,44.42628298,38.26266806,5.63799259,29.79892148,7.133333333,3,11,0
12/31/2021,2369,1191,1842,1532,664,3684,2155,1132,2000,2155,935,1537,501,685.9587534,1274.958753,67.40828933,42.09645116,45.13548422,6.331287439,29.87154816,7.806451613,1,12,1
1/31/2022,1417,1200,1851,1541,673,4415,2127,1104,1972,2127,954,1533,520,782,1495,64.63250015,44.86397701,54.22949495,6.893232436,29.9236413,7.290322581,1,1,0
2/28/2022,1291,1095,1683,1403,619,4010,1991,1235,1095,1316,860,1368,468,491.7937672,728.9587534,71.8637927,50.68749593,53.1507402,6.528008111,29.82077412,6.357142857,1,2,1
